Item Number,Description,Quantity,Unit,Supplier,Cost per Unit
1,2x4 Stud,"5,000",Units,Lumber Supplier,
2,Structural Beams,500,Units,Metal Supplier,
3,Exterior Brick,"5,000",Units,Brick Supplier,
4,4x8 Tempered Glass Window,100,Units,Window Supplier,
5,Exterior Doors,20,Units,Door Supplier,
6,Roof Trusses,100,Units,Roofing Supplier,
7,Roofing Shingles,"10,000",Square Feet,Roofing Supplier,
8,Exterior Paint,500,Gallons,Paint Supplier,
9,Electrical Wires,5000,Linear Feet,Electrical Supplier,
10,PA System Speakers,20,Units,Audio Equipment Supplier,
11,Security Cameras,15,Units,Security Equipment Supplier,
12,Motion Detectors,10,Units,Security Equipment Supplier,
13,Fiber Optic Cables,2000,Linear Feet,Network Supplier,
14,Ethernet Cables,3000,Linear Feet,Network Supplier,
15,Light Fixtures,50,Units,Lighting Supplier,
16,Power Outlets,100,Units,Electrical Supplier,
17,Switches,75,Units,Electrical Supplier,
18,Alarm Panel,1,Units,Security Equipment Supplier,
19,"1/2"" Conduit",1250,Linear Feet,Electrical Supplier,
20,"Conduit unions, elbows, etc.",250,Units,Electrical Supplier,
21,Concrete,650,Cubic Yards,Concrete Supplier,
22,Rebar,1600,Units,Rebar Supplier,
23,Forms,100,Units,Formwork Supplier,
24,MEP Inserts,200,Units,MEP Supplier,
25,Waterproofing Material,500,Square Feet,Waterproofing Supplier,
26,PVC Pipes,1000,Linear Feet,Plumbing Supplier,
27,Copper Pipes,500,Linear Feet,Plumbing Supplier,
28,Pipe Fittings and Joints,200,Units,Plumbing Supplier,
29,Toilets,20,Units,Sanitaryware Supplier,
30,Sinks,30,Units,Sanitaryware Supplier,
31,Faucets,50,Units,Plumbing Hardware Supplier,
32,Drinking Fountains,10,Units,Water Cooler Supplier,
33,Water Heater,2,Units,Plumbing Appliance Supplier,
34,Insulation Material,100,Yards,Insulation Supplier,
