Activity Description,Start Date,End Date,Dur,Subcontractor,Manpower
Building 1 - Site Preparation,1/1/2024,1/3/2024,2,Civil Workers Union,20
Building 1 - Foundation Work,1/4/2023,1/9/2023,5,Civil Workers Union,20
Building 1 - Framing and Structure,1/10/2023,1/24/2023,14,Umbers Ltd.,30
Building 1 - Roofing,1/24/2023,1/31/2023,7,Top Masters,20
Building 1 - Exterior Finishing,1/31/2023,3/14/2023,42,ResiSpec Co.,20
Building 1 - Interior Detailing,1/24/2023,4/4/2023,70,ResiSpec Co.,40
Building 1 - Landscaping,3/14/2023,4/4/2023,21,ResiSpec Co.,15
Building 1 - Final Walkthrough,4/5/2023,4/5/2023,1,InspeCo,1
Building 2 - Site Preparation,1/4/2024,1/6/2024,2,Civil Workers Union,20
Building 2 - Foundation Work,1/10/2023,1/15/2023,5,Civil Workers Union,20
Building 2 - Framing and Structure,1/25/2023,2/8/2023,14,Umbers Ltd.,30
Building 2 - Roofing,2/1/2023,2/8/2023,7,Top Masters,20
Building 2 - Exterior Finishing,3/15/2023,4/26/2023,42,ResiSpec Co.,20
Building 2 - Interior Detailing,4/5/2023,6/14/2023,70,ResiSpec Co.,40
Building 2 - Landscaping,4/5/2023,4/26/2023,21,ResiSpec Co.,15
Building 2 - Final Walkthrough,4/6/2023,4/7/2023,1,InspeCo,1
Building 3 - Site Preparation,1/7/2024,1/9/2024,2,Civil Workers Union,20
Building 3 - Foundation Work,1/16/2023,1/21/2023,5,Civil Workers Union,20
Building 3 - Framing and Structure,2/9/2023,2/23/2023,14,Umbers Ltd.,30
Building 3 - Roofing,2/9/2023,2/16/2023,7,Top Masters,20
Building 3 - Exterior Finishing,4/27/2023,6/8/2023,42,ResiSpec Co.,20
Building 3 - Interior Detailing,6/15/2023,8/24/2023,70,ResiSpec Co.,40
Building 3 - Landscaping,4/27/2023,5/18/2023,21,ResiSpec Co.,15
Building 3 - Final Walkthrough,4/8/2023,4/9/2023,1,InspeCo,1
Building 4 - Site Preparation,1/10/2024,1/12/2024,2,Civil Workers Union,20
Building 4 - Foundation Work,1/22/2023,1/27/2023,5,Civil Workers Union,20
Building 4 - Framing and Structure,2/24/2023,3/10/2023,14,Umbers Ltd.,30
Building 4 - Roofing,2/17/2023,2/24/2023,7,Top Masters,20
Building 4 - Exterior Finishing,6/9/2023,7/21/2023,42,ResiSpec Co.,20
Building 4 - Interior Detailing,8/25/2023,11/3/2023,70,ResiSpec Co.,40
Building 4 - Landscaping,5/19/2023,6/9/2023,21,ResiSpec Co.,15
Building 4 - Final Walkthrough,4/10/2023,4/11/2023,1,InspeCo,1
Building 5 - Site Preparation,1/13/2024,1/15/2024,2,Civil Workers Union,20
Building 5 - Foundation Work,1/28/2023,2/2/2023,5,Civil Workers Union,20
Building 5 - Framing and Structure,3/11/2023,3/25/2023,14,Umbers Ltd.,30
Building 5 - Roofing,2/25/2023,3/4/2023,7,Top Masters,20
Building 5 - Exterior Finishing,7/22/2023,9/2/2023,42,ResiSpec Co.,20
Building 5 - Interior Detailing,11/4/2023,1/13/2024,70,ResiSpec Co.,40
Building 5 - Landscaping,6/10/2023,7/1/2023,21,ResiSpec Co.,15
Building 5 - Final Walkthrough,4/12/2023,4/13/2023,1,InspeCo,1
Building 6 - Site Preparation,1/16/2024,1/18/2024,2,Civil Workers Union,20
Building 6 - Foundation Work,2/3/2023,2/8/2023,5,Civil Workers Union,20
Building 6 - Framing and Structure,3/26/2023,4/9/2023,14,Umbers Ltd.,30
Building 6 - Roofing,3/5/2023,3/12/2023,7,Top Masters,20
Building 6 - Exterior Finishing,9/3/2023,10/15/2023,42,ResiSpec Co.,20
Building 6 - Interior Detailing,1/14/2024,3/24/2024,70,ResiSpec Co.,40
Building 6 - Landscaping,7/2/2023,7/23/2023,21,ResiSpec Co.,15
Building 6 - Final Walkthrough,4/14/2023,4/15/2023,1,InspeCo,1
Building 7 - Site Preparation,1/19/2024,1/21/2024,2,Civil Workers Union,20
Building 7 - Foundation Work,2/9/2023,2/14/2023,5,Civil Workers Union,20
Building 7 - Framing and Structure,4/10/2023,4/24/2023,14,Umbers Ltd.,30
Building 7 - Roofing,3/13/2023,3/20/2023,7,Top Masters,20
Building 7 - Exterior Finishing,10/16/2023,11/27/2023,42,ResiSpec Co.,20
Building 7 - Interior Detailing,3/25/2024,6/3/2024,70,ResiSpec Co.,40
Building 7 - Landscaping,7/24/2023,8/14/2023,21,ResiSpec Co.,15
Building 7 - Final Walkthrough,4/16/2023,4/17/2023,1,InspeCo,1
Building 8 - Site Preparation,1/22/2024,1/24/2024,2,Civil Workers Union,20
Building 8 - Foundation Work,2/15/2023,2/20/2023,5,Civil Workers Union,20
Building 8 - Framing and Structure,4/25/2023,5/9/2023,14,Umbers Ltd.,30
Building 8 - Roofing,3/21/2023,3/28/2023,7,Top Masters,20
Building 8 - Exterior Finishing,11/28/2023,1/9/2024,42,ResiSpec Co.,20
Building 8 - Interior Detailing,6/4/2024,8/13/2024,70,ResiSpec Co.,40
Building 8 - Landscaping,8/15/2023,9/5/2023,21,ResiSpec Co.,15
Building 8 - Final Walkthrough,4/18/2023,4/19/2023,1,InspeCo,1
Building 9 - Site Preparation,1/25/2024,1/27/2024,2,Civil Workers Union,20
Building 9 - Foundation Work,2/21/2023,2/26/2023,5,Civil Workers Union,20
Building 9 - Framing and Structure,5/10/2023,5/24/2023,14,Umbers Ltd.,30
Building 9 - Roofing,3/29/2023,4/5/2023,7,Top Masters,20
Building 9 - Exterior Finishing,1/10/2024,2/21/2024,42,ResiSpec Co.,20
Building 9 - Interior Detailing,8/14/2024,10/23/2024,70,ResiSpec Co.,40
Building 9 - Landscaping,9/6/2023,9/27/2023,21,ResiSpec Co.,15
Building 9 - Final Walkthrough,4/20/2023,4/21/2023,1,InspeCo,1
Building 10 - Site Preparation,1/28/2024,1/30/2024,2,Civil Workers Union,20
Building 10 - Foundation Work,2/27/2023,3/4/2023,5,Civil Workers Union,20
Building 10 - Framing and Structure,5/25/2023,6/8/2023,14,Umbers Ltd.,30
Building 10 - Roofing,4/6/2023,4/13/2023,7,Top Masters,20
Building 10 - Exterior Finishing,2/22/2024,4/4/2024,42,ResiSpec Co.,20
Building 10 - Interior Detailing,10/24/2024,1/2/2025,70,ResiSpec Co.,40
Building 10 - Landscaping,9/28/2023,10/19/2023,21,ResiSpec Co.,15
Building 10 - Final Walkthrough,4/22/2023,4/23/2023,1,InspeCo,1
